页 page
方 square
又 again
力 power
土 earth
忄 heart
文 script
耳 ear
皮 skin
饣 eat
覀 west
米 rice
犭 dog
比 compare
日 sun
月 moon
工 work
广 shelter
女 woman
子 child
彳 step
户 door
母 mother
气 steam
片 slice
瓜 melon
生 life
亻 person
冫 ice
勹 wrap
夂 go
夕 night
己 oneself
弓 bow
彐 snout
手 hand
木 wood
一 one
几 table
口 mouth
大 big
寸 inch
干 dry
戈 spear
斤 axe
歹 death
氵 water
十 ten
宀 roof
小 small
川 river
幺 thread
廾 hands joined
欠 lack
牙 tooth (4 stroke)
用 use
目 eye
巾 towel
殳 weapon
毛 fur
爫 claw
灬 fire
瓦 tile
甘 sweet
田 field
白 white
皿 dish
矢 arrow
石 stone
禾 grain
立 stand
纟 silk
老 old
至 arrive
舌 tongue
色 color
艹 grass
尢 lame
尸 corpse
山 mountain (3 stroke)
彡 hair
止 stop
父 father
玉 jade
疋 cloth
穴 cave
羽 feather
亅 hook
入 enter
刂 knife
疒 ill
羊 sheep
自 oneself
舟 boat
虫 insect
见 see
讠 speech
亠 lid
凵 open box
囗(bigger) enclosure
弋 shoot with a bow
无 not
 礻 spirit
竹 bamboo
而 and
艮 mountain (6 stroke)
门 gate
虍 tiger
血 blood
衤 clothes
谷 valley
豕 pig
贝 shell
走 walk (7 stroke)
足 foot
辛 bitter
辶 walk (2 stroke)
丨 line
丶 dot
丿 slash
冂 down box
车 cart
钅 metal
长 long
雨 rain
非 wrong
马 horse
乙 second
二 two
八 eight
冖 cover
厶 private
牛 cow
肉 meat
豆 bean
青 blue
风 wind
卩 seal
支 branch
斗 dipper
玄 profound
禸 track
身 body
釆 distinguish
里 village
音 sound
飞 fly
匚 right open box
匸 hiding enclosure
卜 divination
厂 cliff
隹 short-tailed bird
面 face
首 head
香 fragrant
骨 bone
屮 sprout
廴 stride
攵 rap
氏 clan
癶 foot steps
矛 spear
缶 jar
聿 brush
臣 minister
臼 mortar
角 horn
赤 red
辰 morning
酉 wine
韦 soft leather
高 high
鬼 ghost
鱼 fish
鸟 bird
卤 salty
齐 even
齿 tooth (8 stroke)
龙 dragon
亻 person
儿 legs
匕 ladle
士 scholar
夊 go slowly
攴 rap
网 net
行 walk
阝 mound
